Section,Checklist Item,Status (Green/Yellow/Red),Owner,Due Date,Notes
Platform and Environment,Production Firebase project is isolated from dev/staging,,,, 
Platform and Environment,Vercel production environment variables are complete and validated,,,, 
Platform and Environment,Custom domain and SSL are active,,,, 
Platform and Environment,Firebase Auth authorized domains include Vercel and custom domain,,,, 
Platform and Environment,Stripe live keys and webhook secret are set in production secrets,,,, 
Platform and Environment,Mailgun domain is verified (SPF DKIM tracking domain),,,, 
Security and Access Control,Firestore rules reviewed for org scoping and role checks,,,, 
Security and Access Control,Storage rules reviewed (if storage is enabled),,,, 
Security and Access Control,Repo and push protection are clean (no secrets in history),,,, 
Security and Access Control,RBAC route access verified for admin coach athlete flows,,,, 
Security and Access Control,Callable functions enforce auth org role server-side,,,, 
Security and Access Control,Public endpoints have abuse controls and strict validation,,,, 
Payments and Donation Integrity,Stripe checkout success cancel flows verified on production URL,,,, 
Payments and Donation Integrity,Webhook idempotency verified (duplicate events handled safely),,,, 
Payments and Donation Integrity,One successful payment creates one donation record,,,, 
Payments and Donation Integrity,Campaign team athlete rollups update accurately,,,, 
Payments and Donation Integrity,Refund failed payment behavior is defined and tested,,,, 
Messaging and Drip Reliability,Drip manual send works with partial success failure reporting,,,, 
Messaging and Drip Reliability,Mailgun webhook updates status (sent bounced complained),,,, 
Messaging and Drip Reliability,Bounce correction and resend flow works end-to-end,,,, 
Messaging and Drip Reliability,Org global start pause and athlete auto-send are validated,,,, 
Messaging and Drip Reliability,Org timezone and send time behavior validated in production,,,, 
Data Quality and Backfills,Required backfills are complete (isPublic public_donors rollups),,,, 
Data Quality and Backfills,Required Firestore indexes are created and documented,,,, 
Data Quality and Backfills,Legacy null field handling validated on core pages,,,, 
Data Quality and Backfills,Broken route link audit completed,,,, 
UX and QA,Mobile tablet desktop QA passed for key routes,,,, 
UX and QA,Public donate route works from direct URL (Vercel rewrite verified),,,, 
UX and QA,Accessibility basics validated (focus labels contrast keyboard),,,, 
UX and QA,No blocking console runtime errors in core flows,,,, 
Observability and Operations,Function and frontend errors are centrally logged,,,, 
Observability and Operations,Alerts configured for webhook failures function errors auth issues,,,, 
Observability and Operations,Incident runbooks documented (payment email deploy rollback),,,, 
Observability and Operations,Daily operational health check has clear owner,,,, 
Launch Operations,Demo seed org-campaign-athlete paths are ready,,,, 
Launch Operations,Legal pages are available (privacy terms contact),,,, 
Launch Operations,Support contact and response SLA are defined,,,, 
Launch Operations,Backup restore approach is documented,,,, 
Decision,Go No-Go Date,,,, 
Decision,Go No-Go Decision (Go Conditional Go No-Go),,,, 
