Category,Feature,Your Product Score (0-3),Snapraise Score (0-3),VerticalRaise Score (0-3),Priority,Owner,Target Date,Status,Notes
Conversion,Mobile donation speed,,,,High,,,,
Conversion,Athlete-specific donation links,,,,High,,,,
Conversion,Public social proof (donor wall comments),,,,High,,,,
Conversion,Urgency UI (goal progress countdown),,,,High,,,,
Messaging,Multi-phase drip templates,,,,High,,,,
Messaging,Bounce complaint recovery workflow,,,,High,,,,
Messaging,Coach governance plus athlete personalization,,,,High,,,,
Messaging,Delivery analytics by phase template,,,,High,,,,
Team Ops,Athlete contact management quality,,,,Medium,,,,
Team Ops,Campaign assignment automation,,,,Medium,,,,
Team Ops,Coach admin operations dashboard,,,,High,,,,
Analytics,Team plus athlete attribution rollups,,,,High,,,,
Analytics,Message performance reporting,,,,High,,,,
Trust,Receipt reliability and donor confidence,,,,High,,,,
Trust,Payment and webhook health transparency,,,,Medium,,,,
Security,Org isolation and RBAC hardening,,,,Critical,,,,
Reliability,Idempotency and retry in critical workflows,,,,Critical,,,,
Platform,CI quality gates plus rollback readiness,,,,High,,,,
Weekly Rollup,Week of,,,,,,,, 
Weekly Rollup,Overall score (avg your product),,,,,,,, 
Weekly Rollup,Top strength 1,,,,,,,, 
Weekly Rollup,Top strength 2,,,,,,,, 
Weekly Rollup,Top strength 3,,,,,,,, 
Weekly Rollup,Top gap 1,,,,,,,, 
Weekly Rollup,Top gap 2,,,,,,,, 
Weekly Rollup,Top gap 3,,,,,,,, 
Weekly Rollup,Priority action next week 1,,,,,,,, 
Weekly Rollup,Priority action next week 2,,,,,,,, 
Weekly Rollup,Priority action next week 3,,,,,,,, 
